id,name,capacity,fuel,submitted_date,service_date,county,state,transmission_owner,iso_utility,join_key
IC-1055,Douglas - Kettle Creek Primary 230 kV Line,200,Solar,8/26/2022,12/1/2025,Coffee,GA,Southern Company,SoCo,coffee_ga
IC-1054,Pike County TS Substation 230 kV Bus,80,Solar+Storage,8/26/2022,2/1/2027,Pike,AL,Southern Company,SoCo,pike_al
IC-1053,Greene County - Moundville TS 230 kV Line,80,Solar+Storage,8/26/2022,3/30/2027,Hale,AL,Southern Company,SoCo,hale_al
IC-1052,Martin Dam - Pear Tree SS 115 kV Line,80,Solar+Storage,8/26/2022,6/1/2026,Lee,AL,Southern Company,SoCo,lee_al
IC-1051,Bucks SS - North Brewton 230 kV Line,80,Solar,8/21/2022,5/15/2027,Escambia,AL,Southern Company,SoCo,escambia_al
IC-1044,Achord Road - Dirt Road 115 kV Line,150,Solar,7/20/2022,2/1/2027,Laurens,GA,Southern Company,SoCo,laurens_ga
IC-1043,Martin Dam - Sylacauga 115 kV Line,100,Solar,7/18/2022,2/1/2030,Coosa,AL,Southern Company,SoCo,coosa_al
IC-1042,Conyers 115 kV TS,200,Solar+Storage,7/11/2022,3/31/2026,Rockdale,GA,Southern Company,SoCo,rockdale_ga
IC-1040,Greene County - Moundville TS 230 kV Line,170,Solar+Storage,6/29/2022,2/1/2027,Hale,AL,Southern Company,SoCo,hale_al
IC-1039,North Selma - R.F. Henry (COE) 115 kV Line,80,Solar,5/23/2022,8/15/2026,Dallas,AL,Southern Company,SoCo,dallas_al
IC-1038,Douglas - Kettle Creek Primary 230 kV Line,120,Solar,5/19/2022,4/13/2026,Ware,GA,Southern Company,SoCo,ware_ga
IC-1037,Ray Place Road - Union Point Primary 115 kV Line,150,Solar,5/19/2022,4/13/2026,Taliaferro,GA,Southern Company,SoCo,taliaferro_ga
IC-1036,Blackbear Solar Farm SS 230 kV Bus,80,Solar,5/19/2022,1/15/2027,Montgomery,AL,Southern Company,SoCo,montgomery_al
IC-1035,Dyer Road - East Roanoke 115 kV Line,100,Solar,5/9/2022,11/15/2025,Heard,GA,Southern Company,SoCo,heard_ga
IC-1031,Jasper East SS Substation 230 kV Bus,150,Solar+Storage,3/11/2022,8/24/2025,Jasper,MS,Southern Company,SoCo,jasper_ms
IC-1029,Hattiesburg Southwest - Adams Creek 230 kV Line,125,Solar,3/9/2022,7/13/2026,Lamar,MS,Southern Company,SoCo,lamar_ms
IC-1026,Farley - South Bainbridge 230 kV Line,260.1,Solar+Storage,2/28/2022,7/22/2024,Decatur,GA,Southern Company,SoCo,decatur_ga
IC-1024,Patsiliga Creek Substation 230 kV Bus,200,Solar+Storage,2/25/2022,6/30/2024,Taylor,GA,Southern Company,SoCo,taylor_ga
IC-1023,Hattiesburg Southwest – Plant Eaton 115 kV Line,49.59,Solar,2/23/2022,11/17/2022,Forrest,MS,Southern Company,SoCo,forrest_ms
IC-1022,NASA North SS Substation 115 kV Bus,74,Solar+Storage,2/18/2022,10/26/2026,Hancock,MS,Southern Company,SoCo,hancock_ms
IC-1015,North Tifton - Raccoon Creek 500 kV Line,150,Solar,1/28/2022,9/30/2027,Mitchell,GA,Southern Company,SoCo,mitchell_ga
IC-1014,Denton Still Rd - South Hazlehurst 230 kV Line,230,Solar,1/28/2022,6/15/2025,Jeff Davis,GA,Southern Company,SoCo,jeffdavis_ga
IC-1013,East Watkinsville - Russell Dam (USA) 230 kV Line,200,Solar+Storage,1/27/2022,11/30/2025,Oglethorpe,GA,Southern Company,SoCo,oglethorpe_ga
IC-1006,Ludowici Primary - Riceboro 115 kV Line,150,Solar+Storage,12/23/2021,1/15/2026,Liberty,GA,Southern Company,SoCo,liberty_ga
IC-1005,Waynesboro Primary - Wilson 230 kV Line,100,Solar,12/14/2021,10/1/2026,Burke,GA,Southern Company,SoCo,burke_ga
IC-1003,East Bainbridge - Spring Creek (Black) 115 kV Line,78,Solar+Storage,12/10/2021,1/1/2025,Decatur,GA,Southern Company,SoCo,decatur_ga
IC-1002,East Bainbridge - Spring Creek (Black) 115 kV Line,78,Solar,12/9/2021,1/1/2025,Decatur,GA,Southern Company,SoCo,decatur_ga
IC-1001,Blakely Primary - Webb 115 kV Line,80,Solar,12/8/2021,8/20/2025,Early,GA,Southern Company,SoCo,early_ga
IC-999,Elsanor - Mobile Hwy (GULF) 230 kV Line,80,Solar+Storage,12/3/2021,12/3/2026,Baldwin,AL,Southern Company,SoCo,baldwin_al
IC-998,Beulah (Gulf) - Silverhill 230 kV Line,80,Solar+Storage,12/3/2021,12/3/2026,Baldwin,AL,Southern Company,SoCo,baldwin_al
IC-997,Beulah (Gulf) - Silverhill 230 kV Line,80,Solar+Storage,12/3/2021,12/3/2026,Baldwin,AL,Southern Company,SoCo,baldwin_al
IC-1000,Elsanor - Mobile Hwy (GULF) 230 kV Line,80,Solar+Storage,12/3/2021,12/3/2026,Baldwin,AL,Southern Company,SoCo,baldwin_al
IC-996,Homeland - Macedonia Switching 115 kV Line,120,Solar+Storage,11/23/2021,2/1/2026,Charlton,GA,Southern Company,SoCo,charlton_ga
IC-994,Hatch - Vidalia 230 kV Line,200,Solar+Storage,11/12/2021,4/30/2025,Toombs,GA,Southern Company,SoCo,toombs_ga
IC-993,Wrightsville Substation 230 kV Bus,150,Solar+Storage,11/12/2021,4/30/2025,Johnson,GA,Southern Company,SoCo,johnson_ga
IC-992,East Watkinsville - Russell Dam (USA) 230 kV Line,120,Solar+Storage,11/12/2021,4/30/2025,Oglethorpe,GA,Southern Company,SoCo,oglethorpe_ga
IC-990,Hatch - Vidalia 230 kV Line,200,Solar,10/21/2021,4/30/2025,Toombs,GA,Southern Company,SoCo,toombs_ga
IC-989,Wrightsville Substation 230 kV Bus,150,Solar,10/21/2021,4/30/2025,Johnson,GA,Southern Company,SoCo,johnson_ga
IC-988,East Watkinsville - Russell Dam (USA) 230 kV Line,120,Solar,10/21/2021,4/30/2025,Oglethorpe,GA,Southern Company,SoCo,oglethorpe_ga
IC-987,Hattiesburg Southwest - Adams Creek 230 kV Line,250,Solar+Storage,10/21/2021,3/1/2025,Lamar,MS,Southern Company,SoCo,lamar_ms
IC-986,Hattiesburg Southwest - Adams Creek 230 kV Line,250,Solar,10/21/2021,3/1/2025,Lamar,MS,Southern Company,SoCo,lamar_ms
IC-980,East Watkinsville - Russell Dam (USA) 230 kV Line,100,Solar+Storage,8/26/2021,3/1/2024,Oglethorpe,GA,Southern Company,SoCo,oglethorpe_ga
IC-979,Evergreen – Monroeville 115 kV Line,80,Solar+Storage,8/20/2021,9/30/2026,Conecuh,AL,Southern Company,SoCo,conecuh_al
IC-975,Pinckard – Pike County 230 kV Line,80,Solar,7/22/2021,10/1/2025,Dale,AL,Southern Company,SoCo,dale_al
IC-974,East Point - Union City (White) 230 kV Line,600,Storage,7/19/2021,6/15/2025,Fulton,GA,Southern Company,SoCo,fulton_ga
IC-973,Eatonton Primary - Porterdale Primary 230 kV Line,250,Solar+Storage,7/14/2021,9/1/2024,Jasper,GA,Southern Company,SoCo,jasper_ga
IC-972,Eatonton Primary - Porterdale Primary 230 kV Line,250,Solar,7/14/2021,8/21/2024,Jasper,GA,Southern Company,SoCo,jasper_ga
IC-971,Greenville - Pintlala 115 kV Line,80,Solar+Storage,7/8/2021,6/1/2026,Lowndes,AL,Southern Company,SoCo,lowndes_al
IC-966,South Bainbridge - Sub 20 (TAL) 230 kV Line,130,Solar+Storage,6/9/2021,7/15/2024,Decatur,GA,Southern Company,SoCo,decatur_ga
IC-964,Vidalia - Wadley Primary (Black) 230 kV Line,150,Solar+Storage,6/9/2021,7/15/2025,Emanuel,GA,Southern Company,SoCo,emanuel_ga
IC-956,Laurel East - Sykes Switching Station 230 kV Line,200,Solar,4/30/2021,6/30/2025,Clarke,MS,Southern Company,SoCo,clarke_ms
IC-955,Greenville - Pintlala 115 kV Line,58,Solar+Storage,4/20/2021,6/1/2026,Lowndes,AL,Southern Company,SoCo,lowndes_al
IC-954,Evergreen - North Brewton 115 kV Line,80,Solar+Storage,4/15/2021,6/30/2026,Conecuh,AL,Southern Company,SoCo,conecuh_al
IC-952,Portland TS 115 kV Bus,150,Storage,4/6/2021,11/1/2024,Polk,GA,Southern Company,SoCo,polk_ga
IC-950,Thomson Primary 230 kV Bus,250,Solar,4/6/2021,6/1/2024,McDuffie,GA,Southern Company,SoCo,mcduffie_ga
IC-945,North Tifton - Pitts 230 kV Line,210,Solar+Storage,4/6/2021,2/1/2026,Turner,GA,Southern Company,SoCo,turner_ga
IC-944,North Tifton - Pitts 230 kV Line,210,Solar,4/6/2021,2/1/2026,Turner,GA,Southern Company,SoCo,turner_ga
IC-943,Coosa Pines - Logan Martin Dam No. 2 115 kV Line,80,Solar,3/31/2021,4/16/2025,Talladega,AL,Southern Company,SoCo,talladega_al
IC-942,Thalmann TS 500 kV Bus,1200,Solar+Storage,3/19/2021,4/14/2025,Glynn,GA,Southern Company,SoCo,glynn_ga
IC-941,Eaton - Lucedale 115 kV Line,110,Solar+Storage,3/18/2021,1/15/2024,Perry,MS,Southern Company,SoCo,perry_ms
